Datum	Bolag	insref	Typer/Dagenshöjdpunkt	Typer/Vägvisare	Typer/Kursraket	Typer/Favorit	Typer/Festfixare		Typer/Vinstskräll	Typer/Medstrommen	Typer/Insideralskling	Typer/Resultatchock	Typer/Rapportsvikare	Typer/Hatobjekt		Typer/Dyr	Typer/Blankad		Typer/Sjunkbomb	Typer/Dumpad	Typer/Joker
28/10/2021	BHG	3634284														Sjunkbomb		
28/10/2021	Catena	1687				Favorit												
28/10/2021	Electrolux Professional	2193							Med strömmen									
28/10/2021	JM	3318						Vinstskräll										
28/10/2021	Millicom	3678									Resultatchock					Sjunkbomb		
28/10/2021	Nolato	4030			Kursraket			Vinstskräll				Rapportsvikare		Dyr				Joker
29/10/2021	SBB	949975	Dagens höjdpunkt		Kursraket		Festfixare							Dyr				
29/10/2021	SCA	4711				Favorit										Sjunkbomb		
29/10/2021	Securitas	4937				Favorit												
29/10/2021	Traton	4426296										Rapportsvikare				Sjunkbomb		
29/10/2021	Vitrolife	6315							Med strömmen					Dyr				
29/10/2021	AAK	728				Favorit												
29/10/2021	Nordnet	5189405			Kursraket	Favorit												
29/10/2021	Sweco	5637														Sjunkbomb		Joker
02/11/2021	Sinch	1175000			Kursraket									Dyr				
02/11/2021	NCC	3788							Med strömmen									
03/11/2021	Loomis	3440									Resultatchock				Blankad	Sjunkbomb		
03/11/2021	Medicover	3094990					Festfixare											
04/11/2021	Hemnet	5421330														Sjunkbomb		
09/11/2021	Latour	3411					Festfixare									Sjunkbomb		
09/11/2021	Cint	5315210														Sjunkbomb		
10/11/2021	Stillfront	1224945								Insiderälskling		Rapportsvikare			Blankad			
11/11/2021	Balder	1495					Festfixare	Vinstskräll										
11/11/2021	Bure	1667										Rapportsvikare				Sjunkbomb		
11/11/2021	Hufvudstaden	3019										Rapportsvikare	Hatobjekt			Sjunkbomb		
12/11/2021	Astrazeneca	1295							Med strömmen									
17/11/2021	Nibe	3947				Favorit							Hatobjekt	Dyr				
24/11/2021	Lundbergs	3448										Rapportsvikare				Sjunkbomb		
25/11/2021	Elekta	2327				Favorit						Rapportsvikare			Blankad	Sjunkbomb		
